num_players,player_stack,blind,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result
9,43.0,0,9d 7d,"received, received, folds",,,,,,,0.0
9,43.0,0,Js 3h,"received, received, folds",6d 5d 6s,,7s,,7c,,0.0
9,43.0,0,9s Qc,"received, received, folds",,,,,,,0.0
6,40.0,0,4s 5d,"received, received, folds",Jc 6c 8d,,,,,,0.0
6,40.0,0,Jd 10d,"received, received, folds",,,,,,,0.0
9,43.0,0,3s 6d,"received, received, folds",Ah Js 2s,,,,,,0.0
6,40.0,0,9d 10c,"received, received, folds",,,,,,,0.0
5,20.25,0,7d Kh,"received, received, folds",,,,,,,0.0
8,31.57,0,Ad Kd,"received, received, raises",10d 2h 5s,checks,2c,checks,4d,"checks, folds",-1.75
9,43.0,0,2h 6d,"received, received, folds",,,,,,,0.0
8,31.57,0,3c 6c,"received, received, folds",,,,,,,0.0
9,43.5,1,5c 3d,"received, received, folds",,,,,,,-0.5
5,20.25,0,9h 3s,"received, received, folds",,,,,,,0.0
6,40.0,1,7s Kh,"received, received, calls",Qh 2s 4s,bets,Qd,checks,5c,"checks, folds",-2.26
5,20.25,0,7c 4c,"received, received, folds",,,,,,,0.0
4,40.28,0,5h 6s,"received, received, folds",,,,,,,0.0
8,44.5,2,6c 10c,"received, received, folds",,,,,,,-1.0
6,40.0,2,7h 5c,"received, received, folds",,,,,,,-1.0
8,30.25,0,4s 4h,"received, received, raises",7d Ah 6d,checks,3h,checks,Ac,checks,1.32
5,20.5,1,3h 5c,"received, received, folds",,,,,,,-0.25
4,40.78,1,Ks Qs,"received, received, folds",,,,,,,-0.5
4,20.0,0,Ah As,"received, received, raises",Ac Ad 5d,bets,4s,"bets, mucks",,,1.77
8,26.19,0,Kd 2c,"received, received, folds",,,,,,,0.0
8,44.5,0,9c 6s,"received, received, folds",,,,,,,0.0
4,40.28,2,8h 7h,"received, received, mucks",,,,,,,0.5
9,26.19,0,9c 7h,"received, received, folds",,,,,,,0.0
4,40.28,0,10c 4c,"received, received, folds",,,,,,,0.0
8,30.25,0,8s 6h,"received, received, folds",Kd 10c 8c,,7s,,,,0.0
8,44.5,0,Kh 3s,"received, received, folds",,,,,,,0.0
5,21.0,2,2s 10h,"received, received, folds",,,,,,,-0.5
5,21.0,0,3d Qd,"received, received, folds",,,,,,,0.0
4,20.0,0,10h 9c,"received, received, raises",3c 2c Kh,bets,8h,checks,9s,"calls, mucks",-8.61
8,30.5,1,7s 4s,"received, received, folds",8h 4c 3s,,,,,,-0.25
5,20.25,1,4s 6c,"received, received, folds",,,,,,,-0.25
8,43.0,0,Jh 9h,"received, received, raises, mucks",,,,,,,1.5
5,20.75,2,Kh 3c,"received, received, folds",,,,,,,-0.5
5,22.0,0,Jh Ac,"received, received, raises",7c 3h 4h,"checks, folds",,,,,-1.0
8,28.75,2,Ac Kd,"received, received, raises, mucks",,,,,,,1.75
8,41.5,0,9c 9s,"received, received, raises, mucks",,,,,,,1.5
4,40.28,0,9s 2h,"received, received, folds",5s Kh 3h,,Ah,,6s,,0.0
9,26.19,0,4h 9d,"received, received, folds",3c Qd 5h,,4c,,7d,,0.0
5,22.0,0,9d 6h,"received, received, folds",,,,,,,0.0
8,40.0,0,2h 2s,"received, received, raises, mucks",,,,,,,1.5
5,22.0,0,10s 9c,"received, received, folds",,,,,,,0.0
8,20.0,0,Ks Kd,"received, received, raises, allin, mucks",,,,,,,8.75
4,40.78,1,7h 2d,"received, received, folds",,,,,,,-0.5
8,40.0,0,As 6h,"received, received, folds",,,,,,,0.0
5,20.75,0,Qc 8h,"received, received, folds",Jh 3h Js,,4d,,,,0.0
4,41.78,2,8c Ad,"received, received, folds",,,,,,,-1.0
8,20.0,0,Qs Jh,"received, received, folds",,,,,,,0.0
5,20.0,1,9d Ad,"received, received, raises, mucks",,,,,,,2.0
5,20.75,0,5h 9s,"received, received, folds",,,,,,,0.0
4,41.78,0,7h 10h,"received, received, folds",,,,,,,0.0
9,40.5,1,3d 8c,"received, received, folds",,,,,,,-0.5
5,20.0,0,Js Ac,"received, received, raises, mucks",,,,,,,0.75
9,26.19,0,10d 2d,"received, received, folds",4h 5h 6s,,3c,,6d,,0.0
8,20.0,0,Jc 10d,"received, received, folds",Jh 8d Kc,,,,,,0.0
4,41.78,0,4s 3c,"received, received, folds",,,,,,,0.0
5,20.0,2,Qh 9s,"received, received, folds",,,,,,,-0.5
8,25.44,0,5h Ac,"received, received, raises, mucks",,,,,,,0.75
4,42.28,1,Kd 2h,"received, received, folds",,,,,,,-0.5
5,20.0,1,6s 8c,"received, received, folds",,,,,,,-0.25
9,41.5,2,Jd Qc,"received, received, folds",,,,,,,-1.0
8,20.0,0,Kc 9c,"received, received, folds",Js Kh Ks,,,,,,0.0
6,20.0,2,5h 10d,"received, received, folds",,,,,,,-0.5
8,25.69,1,Js 6s,"received, received, folds",,,,,,,-0.25
8,20.0,0,3d 2d,"received, received, folds",,,,,,,0.0
9,41.5,0,7d 9c,"received, received, folds",,,,,,,0.0
6,20.0,0,5s Ac,"received, received, folds",,,,,,,0.0
5,35.63,0,6c 7s,"received, received, folds",Ac Ah Kh,,,,,,0.0
8,20.0,0,2h 9s,"received, received, folds",Jc 10c Kc,,,,,,0.0
6,20.0,0,7c 9s,"received, received, folds",,,,,,,0.0
9,40.0,0,10h 10d,"received, received, raises, mucks",,,,,,,1.5
4,35.63,0,8s 4h,"received, received, folds",8h 3s 10d,,,,,,0.0
4,40.0,2,5h Ad,"received, received, calls",Ac 2s 5d,checks,Qd,checks,2c,checks,2.28
8,20.0,1,2c 2s,"received, received, folds",,,,,,,-0.25
4,35.63,0,Qc 2h,"received, received, folds",4s 3s 4h,,Qs,,6s,,0.0
5,40.0,0,7s 3c,"received, received, folds",,,,,,,0.0
8,20.75,2,Ah 6d,"received, received, calls",6s 5h 2d,checks,Ad,"checks, raises, mucks",,,4.94
9,40.0,0,3h 10c,"received, received, folds",,,,,,,0.0
6,20.0,0,7d Qc,"received, received, folds",5c 4s 8c,,Ad,,3c,,0.0
5,35.63,0,Qh 8c,"received, received, folds",Qs 3h 6d,,9c,,,,0.0
8,20.75,0,Qs Jh,"received, received, folds",,,,,,,0.0
5,20.0,1,8c Kd,"received, received, folds",,,,,,,-0.25
5,40.0,0,7c 2c,"received, received, folds",,,,,,,0.0
8,20.0,2,Qh 7s,"received, received, folds",2s Qc Qs,,2d,,4d,,-0.5
8,20.0,0,Ac Ks,"received, received, raises, mucks",,,,,,,0.75
9,40.0,0,Qs 8s,"received, received, folds",,,,,,,0.0
4,20.0,2,4c 2c,"received, received, folds",,,,,,,-0.5
8,20.0,0,8c 4c,"received, received, folds",,,,,,,0.0
5,35.88,1,9h 4s,"received, received, folds",Ac Js Kc,,3h,,Qs,,-0.25
8,20.0,0,Jd 7s,"received, received, folds",,,,,,,0.0
5,40.0,1,2d 5h,"received, received, folds",,,,,,,-0.5
8,20.0,0,10c 4h,"received, received, folds",,,,,,,0.0
9,40.0,0,3h Jc,"received, received, folds",,,,,,,0.0
5,20.0,2,6d 9h,"received, received, checks",6h 7s 6c,"checks, calls",Kd,"checks, calls",3h,,15.88
8,20.0,0,Qd 4h,"received, received, folds",Jh Ac 4c,,,,,,0.0
