num_players,player_stack,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result,winners
8,53.5,Jd Jc,"received, received, raises, folds, does",,,,,,folded,-4.0,Maria_Pia
8,49.5,9c Ac,"received, received, raises",4h 8s 2s,"checks, raises, mucks, mucks",,,,,8.91,IlxxxlI
8,49.5,6d 4d,"received, received, folds",Jd 9s 8d,,Qc,,2c,,0.0,Ice
8,49.5,7d Qc,"received, received, folds",7c Jc Jh,,,,,,0.0,Maria_Pia
8,10.0,9s 3d,"received, received, folds, does",,,,,,folded,0.0,FirstClan
5,42.9,Qh 5s,"received, received, folds",Kh 9s 8s,,3s,,7h,,0.0,Portly23
8,10.0,4c 9d,"received, received, folds, does",,,,,,folded,0.0,FirstClan
8,53.5,5d Jc,"received, received, folds, does",,,,,,folded,0.0,_robbyJ
6,13.58,9c Qc,"received, received, raises, folds, does",,,,,,folded,-0.62,dtnfk
8,20.74,As Ks,"received, received, raises, allin",3c 3d 10d,,6c,,9s,,-20.74,Ice
4,20.0,4c Kh,"received, received, folds",3h 5c Kc,,8s,,Ad,,0.0,Ice
5,42.9,3s Jc,"received, received, folds",Ac 4d 8h,,,,,,0.0,l3ae
7,53.5,6h 4s,"received, received, folds",6c Jd 3s,,,,,,0.0,gust
4,20.0,As Kd,"received, received, raises",3h 3c 7s,"bets, folds, does",,,,folded,-4.5,8link
6,13.58,Jh 6s,"received, received, folds, does",,,,,,folded,0.0,FirstClan
6,38.91,Kc Qs,"received, received, folds, does",,,,,,folded,0.0,pineapplesand
5,42.9,8d 6c,"received, received, folds",4s 10c Jh,,Qh,,As,,0.0,l3ae
7,53.5,Kd Qd,"received, received, folds, does",,,,,,folded,0.0,_robbyJ
5,38.91,3s Jh,"received, received, folds, does",,,,,,folded,0.0,gust
3,20.0,Kh,"received, received, raises",6d Ad 5d,bets,7c,checks,5h,"checks, mucks",-4.3,tootsie
8,20.74,8c 2c,"received, received, folds",4c Jd 5h,,Qs,,4d,,0.0,Ice
5,37.41,Qd,"received, received, raises, mucks, mucks",,,,,,,1.5,IlxxxlI
5,106.45,5c Kc,"received, received, folds, does",,,,,,folded,0.0,gust
6,6.72,Kc As,"received, received, raises",Ks 6h 8s,"bets, allin",Ac,,6d,,6.86,IlxxxlI
6,10.0,Ah Jh,"received, received, raises",8c Js Qd,bets,9d,checks,6s,"folds, folded",-1.49,joeyzzz
7,54.0,4d 8c,"has, received, received, folds",Kh 3c Qd,,,,,,-0.5,RunnerLucker
5,37.91,Ac 3s,"has, received, received, folds, does",,,,,,folded,-0.5,pineapplesand
5,43.4,8s Jh,"has, received, received, folds",Kh Js Jd,,,,9d,,-0.5,l3ae
6,6.82,5h 4h,"has, received, received, folds, does",,,,,,folded,-0.1,dtnfk
8,20.74,9d,"received, received, folds, does",,,,,,folded,0.0,Spagetti1
5,106.45,4c 7d,"received, received, folds, does",,,,,,folded,0.0,Wyavale
7,55.0,Qc 8h,"has, received, received, folds, does",,,,,,folded,-1.0,twoakers
3,20.0,Kc,"has, received, received, folds",9c 7c 5s,,Ks,,Qc,,-0.5,tootsie
5,38.91,Kd 5c,"has, received, received, folds, does",,,,,,folded,-1.0,gust
5,44.4,8d 7s,"has, received, received, folds, does",,,,,,folded,-1.0,Portly23
4,106.45,6c 3s,"received, received, folds, does",,,,,,folded,0.0,Ice
5,28.73,Ah 8d,"received, received, raises",4h 2h 2s,checks,5c,"bets, mucks, mucks",,,2.55,IlxxxlI
